week_end_date,Region,case_7d_avg
2022-02-27,Gisborne,42
2022-02-27,Hawke's Bay,75
2022-02-27,Manawatu-Whanganui,118
2022-02-27,Marlborough,11
2022-02-27,Nelson,105
2022-02-27,Northland,125
2022-02-27,Otago,449
2022-02-27,Southland,24
2022-02-27,Taranaki,50
2022-02-27,Tasman,10
2022-02-27,Waikato,913
2022-02-27,Wellington,493
2022-02-27,West Coast,4
2022-02-27,NA,49
2022-03-06,Auckland,10934
2022-03-06,Bay of Plenty,1550
2022-03-06,Canterbury,1148
2022-03-06,Gisborne,152
2022-03-06,Hawke's Bay,304
2022-03-06,Manawatu-Whanganui,424
2022-03-06,Marlborough,32
2022-03-06,Nelson,183
2022-03-06,Northland,439
2022-03-06,Otago,494
2022-03-06,Southland,53
2022-03-06,Taranaki,250
2022-03-06,Tasman,50
2022-03-06,Waikato,1802
2022-03-06,Wellington,2010
2022-03-06,West Coast,14
2022-03-06,NA,127
2022-03-13,Auckland,6750
2022-03-13,Bay of Plenty,1677
2022-03-13,Canterbury,2058
2022-03-13,Gisborne,335
2022-03-13,Hawke's Bay,695
2022-03-13,Manawatu-Whanganui,761
2022-03-13,Marlborough,55
2022-03-13,Nelson,271
2022-03-13,Northland,633
2022-03-13,Otago,701
2022-03-13,Southland,136
2022-03-13,Taranaki,467
2022-03-13,Tasman,92
2022-03-13,Waikato,1960
2022-03-13,Wellington,2787
2022-03-13,West Coast,22
2022-03-13,NA,172
2022-03-20,Auckland,4227
2022-03-20,Bay of Plenty,1423
2022-03-20,Canterbury,2481
2022-03-20,Gisborne,325
2022-03-20,Hawke's Bay,937
2022-03-20,Manawatu-Whanganui,965
2022-03-20,Marlborough,105
2022-03-20,Nelson,219
2022-03-20,Northland,576
2022-03-20,Otago,779
2022-03-20,Southland,298
2022-03-20,Taranaki,536
2022-03-20,Tasman,122
2022-03-20,Waikato,1778
2022-03-20,Wellington,2132
2022-03-20,West Coast,39
2022-03-20,NA,203
2022-03-27,Auckland,3048
2022-03-27,Bay of Plenty,1221
2022-03-27,Canterbury,2940
2022-03-27,Gisborne,252
2022-03-27,Hawke's Bay,872
2022-03-27,Manawatu-Whanganui,1105
2022-03-27,Marlborough,176
2022-03-27,Nelson,221
2022-03-27,Northland,575
2022-03-27,Otago,822
2022-03-27,Southland,404
2022-03-27,Taranaki,580
2022-03-27,Tasman,180
2022-03-27,Waikato,1570
2022-03-27,Wellington,1892
2022-03-27,West Coast,50
2022-03-27,NA,195
2022-04-03,Auckland,2230
2022-04-03,Bay of Plenty,943
2022-04-03,Canterbury,2351
2022-04-03,Gisborne,164
2022-04-03,Hawke's Bay,699
2022-04-03,Manawatu-Whanganui,1041
2022-04-03,Marlborough,163
2022-04-03,Nelson,194
2022-04-03,Northland,547
2022-04-03,Otago,713
2022-04-03,Southland,415
2022-04-03,Taranaki,517
2022-04-03,Tasman,193
2022-04-03,Waikato,1269
2022-04-03,Wellington,1569
2022-04-03,West Coast,67
2022-04-03,NA,141
2022-04-10,Auckland,1754
2022-04-10,Bay of Plenty,627
2022-04-10,Canterbury,1839
2022-04-10,Gisborne,113
2022-04-10,Hawke's Bay,438
2022-04-10,Manawatu-Whanganui,770
2022-04-10,Marlborough,118
2022-04-10,Nelson,133
2022-04-10,Northland,494
2022-04-10,Otago,717
2022-04-10,Southland,396
2022-04-10,Taranaki,356
2022-04-10,Tasman,123
2022-04-10,Waikato,928
2022-04-10,Wellington,1176
2022-04-10,West Coast,84
2022-04-10,NA,109
2022-04-17,Auckland,1582
2022-04-17,Bay of Plenty,469
2022-04-17,Canterbury,1515
2022-04-17,Gisborne,67
2022-04-17,Hawke's Bay,280
2022-04-17,Manawatu-Whanganui,504
2022-04-17,Marlborough,35
2022-04-17,Nelson,190
2022-04-17,Northland,383
2022-04-17,Otago,803
2022-04-17,Southland,157
2022-04-17,Taranaki,260
2022-04-17,Tasman,43
2022-04-17,Waikato,651
2022-04-17,Wellington,912
2022-04-17,West Coast,82
