week_end_date,SampleLocation,case_7d_avg
2021-11-07,AU_SnellsAlgies,0
2021-11-07,AU_SouthWestern,26
2021-11-07,AU_Waiuku,0
2021-11-07,AU_Warkworth,0
2021-11-07,AU_Wellsford,0
2021-11-07,AU_Western,40
2021-11-07,BP_Rotorua,1
2021-11-07,NO_Kaikohe,0
2021-11-07,NO_Kaitaia,1
2021-11-07,NO_Whangarei,0
2021-11-07,WG_MoaPoint,0
2021-11-07,WK_Hamilton,2
2021-11-07,WK_Otorohanga,1
2021-11-07,WK_TeAwamutu,1
2021-11-14,AU_ArmyBay,2
2021-11-14,AU_ClarksBeach,0
2021-11-14,AU_Eastern,55
2021-11-14,AU_Helensville,1
2021-11-14,AU_Omaha,0
2021-11-14,AU_Pukekohe,9
2021-11-14,AU_Rosedale,12
2021-11-14,AU_SouthWestern,30
2021-11-14,AU_Waiuku,0
2021-11-14,AU_Warkworth,0
2021-11-14,AU_Wellsford,0
2021-11-14,AU_Western,42
2021-11-14,BP_Rotorua,1
2021-11-14,CA_Christchurch,1
2021-11-14,NO_Dargaville,1
2021-11-14,NO_Kaikohe,0
2021-11-14,NO_Kaitaia,1
2021-11-14,NO_Whangarei,0
2021-11-14,TK_Stratford,1
2021-11-14,WK_Cambridge,0
2021-11-14,WK_Hamilton,5
2021-11-14,WK_Otorohanga,3
2021-11-14,WK_Taupo,0
2021-11-21,AU_ArmyBay,1
2021-11-21,AU_Beachlands,0
2021-11-21,AU_ClarksBeach,1
2021-11-21,AU_Eastern,61
2021-11-21,AU_Helensville,1
2021-11-21,AU_Omaha,0
2021-11-21,AU_Pukekohe,14
2021-11-21,AU_Rosedale,5
2021-11-21,AU_SnellsAlgies,0
2021-11-21,AU_SouthWestern,35
2021-11-21,AU_Waiuku,0
2021-11-21,AU_Warkworth,0
2021-11-21,AU_Wellsford,0
2021-11-21,AU_Western,31
2021-11-21,BP_Rotorua,0
2021-11-21,BP_Tauranga,1
2021-11-21,BP_TeMaunga,1
2021-11-21,CA_Christchurch,1
2021-11-21,MW_PalmerstonNorth,0
2021-11-21,NE_Nelson,0
2021-11-21,NO_Dargaville,1
2021-11-21,NO_Kaikohe,0
2021-11-21,NO_Kaitaia,1
2021-11-21,NO_Ruakaka,0
2021-11-21,NO_Whangarei,0
2021-11-21,WG_Masterton,0
2021-11-21,WG_MoaPoint,0
2021-11-21,WK_Cambridge,1
2021-11-21,WK_Hamilton,5
2021-11-21,WK_Otorohanga,2
2021-11-21,WK_Taupo,0
2021-11-21,WK_TeAwamutu,0
2021-11-21,WK_Thames,0
2021-11-21,WK_Turangi,0
2021-11-28,AU_ArmyBay,1
2021-11-28,AU_Beachlands,0
2021-11-28,AU_Eastern,60
2021-11-28,AU_Helensville,3
2021-11-28,AU_Omaha,0
2021-11-28,AU_Pukekohe,6
2021-11-28,AU_Rosedale,5
2021-11-28,AU_SouthWestern,37
2021-11-28,AU_Waiuku,0
2021-11-28,AU_Wellsford,0
2021-11-28,AU_Western,28
2021-11-28,BP_Kawerau,0
2021-11-28,BP_Rotorua,1
2021-11-28,BP_Tauranga,1
2021-11-28,BP_TeMaunga,1
2021-11-28,BP_TePuke,0
2021-11-28,BP_Whakatane,0
2021-11-28,CA_Christchurch,1
2021-11-28,HB_Hastings,0
2021-11-28,MW_Pahiatua,0
2021-11-28,NO_Kaikohe,1
2021-11-28,NO_Kaitaia,0
2021-11-28,NO_Ruakaka,0
2021-11-28,NO_Whangarei,0
2021-11-28,WG_MoaPoint,0
2021-11-28,WK_Cambridge,0
2021-11-28,WK_Hamilton,2
2021-11-28,WK_Otorohanga,0
2021-11-28,WK_Taupo,0
2021-11-28,WK_Tokoroa,0
2021-12-05,AU_ArmyBay,0
2021-12-05,AU_Eastern,38
2021-12-05,AU_Helensville,2
2021-12-05,AU_Pukekohe,1
2021-12-05,AU_Rosedale,4
2021-12-05,AU_SouthWestern,26
2021-12-05,AU_Waiuku,0
2021-12-05,AU_Western,17
2021-12-05,BP_Maketu,1
2021-12-05,BP_Rotorua,0
2021-12-05,BP_Tauranga,1
2021-12-05,BP_TeMaunga,1
2021-12-05,BP_TePuke,0
2021-12-05,CA_Christchurch,1
2021-12-05,MW_Whanganui,0
2021-12-05,NE_BellIsland,1
2021-12-05,NE_Nelson,1
2021-12-05,NO_Kaitaia,1
2021-12-05,NO_Kawakawa,0
2021-12-05,NO_Whangarei,0
2021-12-05,TK_NewPlymouth,0
2021-12-05,TS_Motueka,0
2021-12-05,WG_MoaPoint,0
2021-12-05,WG_Seaview,0
2021-12-05,WK_Hamilton,1
2021-12-05,WK_Otorohanga,0
2021-12-05,WK_TeAwamutu,0
2021-12-05,WK_Whitianga,0
2021-12-12,AU_ArmyBay,1
2021-12-12,AU_ClarksBeach,0
2021-12-12,AU_Eastern,32
2021-12-12,AU_Helensville,1
2021-12-12,AU_Pukekohe,2
2021-12-12,AU_Rosedale,4
2021-12-12,AU_SouthWestern,19
2021-12-12,AU_Western,16
2021-12-12,BP_Opotiki,0
2021-12-12,BP_Rotorua,1
2021-12-12,BP_Tauranga,2
2021-12-12,BP_TeMaunga,0
2021-12-12,CA_Christchurch,1
2021-12-12,MW_Taumarunui,0
2021-12-12,NE_BellIsland,0
2021-12-12,NE_Nelson,0
2021-12-12,NO_Kaitaia,0
2021-12-12,NO_Paihia,0
2021-12-12,SO_Invercargill,0
2021-12-12,TK_Eltham,0
2021-12-12,TK_Hawera,0
2021-12-12,TK_NewPlymouth,0
2021-12-12,WK_Hamilton,0
2021-12-12,WK_Otorohanga,1
2021-12-12,WK_Tokoroa,0
2021-12-19,AU_ArmyBay,0
2021-12-19,AU_Eastern,26
2021-12-19,AU_Pukekohe,2
2021-12-19,AU_Rosedale,1
2021-12-19,AU_SouthWestern,10
2021-12-19,AU_Western,9
2021-12-19,BP_Rotorua,1
2021-12-19,BP_Tauranga,5
2021-12-19,BP_TeMaunga,1
2021-12-19,BP_TePuke,0
2021-12-19,CA_Christchurch,1
2021-12-19,CA_Kaiapoi,0
2021-12-19,NO_Ruakaka,0
2021-12-19,TK_Eltham,3
2021-12-19,TK_Hawera,3
2021-12-19,TK_NewPlymouth,0
2021-12-19,WG_MoaPoint,0
2021-12-19,WK_Hamilton,2
2021-12-19,WK_Otorohanga,0
2021-12-19,WK_TeAwamutu,0
2021-12-19,WK_Tokoroa,1
2021-12-26,AU_ArmyBay,0
2021-12-26,AU_Eastern,22
2021-12-26,AU_Pukekohe,1
2021-12-26,AU_Rosedale,1
2021-12-26,AU_SouthWestern,9
2021-12-26,AU_Warkworth,0
2021-12-26,AU_Western,4
2021-12-26,BP_Rotorua,3
2021-12-26,BP_Tauranga,2
2021-12-26,BP_TeMaunga,2
2021-12-26,BP_TePuke,0
2021-12-26,CA_Christchurch,2
2021-12-26,GI_Gisborne,0
2021-12-26,NO_Mangawhai,0
2021-12-26,TK_Eltham,0
2021-12-26,TK_Hawera,0
2021-12-26,TK_NewPlymouth,0
2021-12-26,WG_Seaview,0
2021-12-26,WK_Hamilton,0
2021-12-26,WK_Otorohanga,1
2021-12-26,WK_Taupo,0
2021-12-26,WK_Tokoroa,0
2022-01-02,AU_Eastern,22
2022-01-02,AU_Pukekohe,0
2022-01-02,AU_Rosedale,1
2022-01-02,AU_SouthWestern,9
2022-01-02,AU_Western,4
2022-01-02,BP_Kawerau,0
2022-01-02,BP_Rotorua,2
2022-01-02,BP_Tauranga,3
2022-01-02,BP_TeMaunga,3
2022-01-02,BP_TePuke,0
2022-01-02,BP_Whakatane,0
2022-01-02,CA_Christchurch,3
2022-01-02,GI_Gisborne,0
2022-01-02,HB_Napier,0
2022-01-02,WG_MoaPoint,0
2022-01-02,WK_Hamilton,0
2022-01-02,WK_Otorohanga,1
2022-01-02,WK_Taupo,0
2022-01-02,WK_TeAwamutu,1
2022-01-09,AU_ArmyBay,0
2022-01-09,AU_Beachlands,0
2022-01-09,AU_Eastern,21
2022-01-09,AU_Rosedale,2
2022-01-09,AU_SouthWestern,11
2022-01-09,AU_Western,6
2022-01-09,BP_Rotorua,4
2022-01-09,BP_Tauranga,4
2022-01-09,BP_TeMaunga,2
2022-01-09,BP_TePuke,0
2022-01-09,CA_Christchurch,2
2022-01-09,HB_Napier,0
2022-01-09,NO_Whangarei,0
2022-01-09,TK_Eltham,0
2022-01-09,TK_Hawera,0
2022-01-09,TK_NewPlymouth,0
2022-01-09,WG_MoaPoint,0
2022-01-09,WG_Seaview,0
2022-01-09,WK_Hamilton,1
2022-01-09,WK_Otorohanga,0
2022-01-09,WK_Taupo,0
2022-01-09,WK_TeAwamutu,0
2022-01-09,WK_Whitianga,0
2022-01-16,AU_ArmyBay,0
2022-01-16,AU_Eastern,26
2022-01-16,AU_Rosedale,3
2022-01-16,AU_SouthWestern,9
2022-01-16,AU_Wellsford,0
2022-01-16,AU_Western,3
2022-01-16,BP_Rotorua,6
2022-01-16,BP_Tauranga,1
2022-01-16,BP_TeMaunga,1
2022-01-16,BP_TePuke,0
2022-01-16,CA_Christchurch,5
2022-01-16,CA_Timaru,0
2022-01-16,CA_Woodend,0
2022-01-16,HB_Hastings,0
2022-01-16,NO_Whangarei,0
2022-01-16,OT_GreenIsland,0
2022-01-16,OT_Mosgiel,0
2022-01-16,WG_Featherston,0
2022-01-16,WG_MoaPoint,1
2022-01-16,WG_Seaview,0
2022-01-16,WK_Hamilton,0
2022-01-23,AU_ArmyBay,0
2022-01-23,AU_Eastern,22
2022-01-23,AU_Rosedale,2
