region_id,DisplayName,variant,seen,detected
9,Porirua,BA.2.86,NA,FALSE
9,Porirua,CH.1.1,TRUE,TRUE
9,Porirua,EG.5,TRUE,TRUE
9,Porirua,HK.3,TRUE,TRUE
9,Porirua,Recombinant,TRUE,TRUE
9,Porirua,XBB,TRUE,TRUE
9,Porirua,XBB.1.16,TRUE,TRUE
9,Porirua,XBB.1.5,TRUE,TRUE
9,Porirua,XBC,TRUE,TRUE
9,Wellington (Moa Point),BA.2.75,NA,FALSE
9,Wellington (Moa Point),BA.2.86,NA,FALSE
9,Wellington (Moa Point),CH.1.1,NA,FALSE
9,Wellington (Moa Point),EG.5,TRUE,TRUE
9,Wellington (Moa Point),HK.3,NA,FALSE
9,Wellington (Moa Point),Recombinant,NA,FALSE
9,Wellington (Moa Point),XBB,TRUE,TRUE
9,Wellington (Moa Point),XBB.1.16,TRUE,TRUE
9,Wellington (Moa Point),XBB.1.5,TRUE,TRUE
9,Wellington (Moa Point),XBC,TRUE,TRUE
11,Nelson Central/North,BA.2.75,NA,FALSE
11,Nelson Central/North,BA.2.86,NA,FALSE
11,Nelson Central/North,CH.1.1,NA,FALSE
11,Nelson Central/North,EG.5,TRUE,TRUE
11,Nelson Central/North,HK.3,TRUE,TRUE
11,Nelson Central/North,Recombinant,TRUE,TRUE
11,Nelson Central/North,XBB,TRUE,TRUE
11,Nelson Central/North,XBB.1.16,TRUE,TRUE
11,Nelson Central/North,XBB.1.5,TRUE,TRUE
11,Nelson Central/North,XBC,TRUE,TRUE
14,Christchurch,BA.2.75,NA,FALSE
14,Christchurch,BA.2.86,TRUE,TRUE
14,Christchurch,CH.1.1,NA,FALSE
14,Christchurch,EG.5,TRUE,TRUE
14,Christchurch,HK.3,TRUE,TRUE
14,Christchurch,Recombinant,NA,FALSE
14,Christchurch,XBB,TRUE,TRUE
14,Christchurch,XBB.1.16,NA,FALSE
14,Christchurch,XBB.1.5,TRUE,TRUE
14,Christchurch,XBC,TRUE,TRUE
15,Queenstown,BA.2.75,NA,FALSE
15,Queenstown,BA.2.86,NA,FALSE
15,Queenstown,CH.1.1,TRUE,TRUE
15,Queenstown,EG.5,TRUE,TRUE
15,Queenstown,HK.3,TRUE,TRUE
15,Queenstown,Recombinant,TRUE,TRUE
