week_end_date,Region,copies_per_day_per_person,population_covered,n_sites
2021-09-05,Marlborough,0,36000,2
2021-09-05,Nelson,0,26000,1
2021-09-05,Northland,0,105920,18
2021-09-05,Otago,0,190900,8
2021-09-05,Southland,0,52000,2
2021-09-05,Taranaki,0,114750,8
2021-09-05,Tasman,0,8300,1
2021-09-05,Waikato,0,275000,11
2021-09-05,Wellington,24330,481500,9
2021-09-05,West Coast,0,18900,4
2021-09-12,Auckland,375060,1385120,8
2021-09-12,Bay of Plenty,0,201100,8
2021-09-12,Canterbury,0,496200,10
2021-09-12,Gisborne,0,37000,1
2021-09-12,Hawke's Bay,0,141860,4
2021-09-12,Manawatu-Whanganui,0,171700,4
2021-09-12,Marlborough,0,36000,2
2021-09-12,Nelson,0,26000,1
2021-09-12,Northland,0,105020,17
2021-09-12,Otago,0,190900,8
2021-09-12,Southland,0,60000,3
2021-09-12,Taranaki,0,112500,5
2021-09-12,Waikato,0,261809,9
2021-09-12,Wellington,24330,481500,9
2021-09-12,West Coast,0,15000,2
2021-09-19,Auckland,100526,1449310,16
2021-09-19,Bay of Plenty,0,225920,10
2021-09-19,Canterbury,0,496200,10
2021-09-19,Gisborne,0,37000,1
2021-09-19,Hawke's Bay,0,146260,5
2021-09-19,Manawatu-Whanganui,0,171700,4
2021-09-19,Marlborough,0,36000,2
2021-09-19,Nelson,0,86000,2
2021-09-19,Northland,0,107350,19
2021-09-19,Otago,0,193400,8
2021-09-19,Southland,0,60000,3
2021-09-19,Taranaki,0,112500,5
2021-09-19,Waikato,0,266809,11
2021-09-19,Wellington,0,481500,9
2021-09-19,West Coast,0,10000,1
2021-09-26,Auckland,233422,1449310,16
2021-09-26,Bay of Plenty,25341,174000,3
2021-09-26,Canterbury,0,368000,1
2021-09-26,Gisborne,0,37000,1
2021-09-26,Hawke's Bay,0,135000,2
2021-09-26,Manawatu-Whanganui,0,134500,2
2021-09-26,Nelson,0,86000,2
2021-09-26,Northland,0,85500,5
2021-09-26,Otago,0,161500,4
2021-09-26,Southland,0,50000,1
2021-09-26,Taranaki,0,88000,1
2021-09-26,Waikato,0,245175,8
2021-09-26,Wellington,0,386000,3
2021-10-03,Auckland,316098,1449310,16
2021-10-03,Bay of Plenty,0,197900,8
2021-10-03,Canterbury,0,403000,2
2021-10-03,Gisborne,0,37000,1
2021-10-03,Hawke's Bay,0,139400,3
2021-10-03,Manawatu-Whanganui,0,134500,2
2021-10-03,Nelson,0,26000,1
2021-10-03,Northland,0,88800,8
2021-10-03,Otago,0,146900,3
2021-10-03,Southland,0,50000,1
2021-10-03,Taranaki,0,88000,1
2021-10-03,Waikato,0,254566,9
